int rst,int start,int in,int out,int error,int done
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,0,256,0,1
0,0,-38193,256,0,1
0,1,-38193,256,0,1
