int address,bool busy,int byte_sel,int data_from_bus,int data_to_bus,bool error_from_bus,int next_state,bool ready_from_bus,bool request,bool reset,int state,bool wb_ack,int wb_adr,bool wb_cyc,int wb_dat_i,int wb_dat_o,bool wb_err,bool wb_rst,int wb_sel,bool wb_stall,bool wb_stb,bool wb_we,bool write
96,1,0,0,236,0,1,1,0,0,3,1,96,1,0,236,0,0,1,0,0,1,0
96,0,0,0,236,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,0,1,0,19,0,2,0,1,0,1,0,96,0,0,236,0,0,0,0,0,0,1
96,1,1,0,19,0,2,0,1,0,2,0,96,1,0,19,0,0,1,0,1,1,1
96,1,1,0,19,0,3,0,1,0,2,0,96,1,0,19,0,0,1,1,1,1,1
96,1,1,0,19,0,3,0,1,0,3,0,96,1,0,19,0,0,1,1,0,1,1
96,1,1,0,19,0,3,0,1,0,3,0,96,1,0,19,0,0,1,1,0,1,1
96,1,1,0,19,0,3,0,1,0,3,0,96,1,0,19,0,0,1,1,0,1,1
96,1,1,0,19,0,3,0,1,0,3,0,96,1,0,19,0,0,1,1,0,1,1
96,1,1,0,19,0,3,0,1,0,3,0,96,1,0,19,0,0,1,1,0,1,1
96,1,1,0,19,0,3,0,1,0,3,0,96,1,0,19,0,0,1,1,0,1,1
96,1,1,0,19,0,3,0,1,0,3,0,96,1,0,19,0,0,1,1,0,1,1
96,1,0,0,19,0,1,1,0,0,3,1,96,1,0,19,0,0,1,0,0,1,0
96,0,0,0,19,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,0,1,0,236,0,2,0,1,0,1,0,96,0,0,19,0,0,0,0,0,0,1
96,1,1,0,236,0,2,0,1,0,2,0,96,1,0,236,0,0,1,0,1,1,1
96,1,1,0,236,0,3,0,1,0,2,0,96,1,0,236,0,0,1,1,1,1,1
96,1,1,0,236,0,3,0,1,0,3,0,96,1,0,236,0,0,1,1,0,1,1
96,1,1,0,236,0,3,0,1,0,3,0,96,1,0,236,0,0,1,1,0,1,1
96,1,1,0,236,0,3,0,1,0,3,0,96,1,0,236,0,0,1,1,0,1,1
96,1,1,0,236,0,3,0,1,0,3,0,96,1,0,236,0,0,1,1,0,1,1
96,1,1,0,236,0,3,0,1,0,3,0,96,1,0,236,0,0,1,1,0,1,1
96,1,1,0,236,0,3,0,1,0,3,0,96,1,0,236,0,0,1,1,0,1,1
96,1,1,0,236,0,3,0,1,0,3,0,96,1,0,236,0,0,1,1,0,1,1
96,1,0,0,236,0,1,1,0,0,3,1,96,1,0,236,0,0,1,0,0,1,0
96,0,0,0,236,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,0,1,0,61,0,2,0,1,0,1,0,96,0,0,236,0,0,0,0,0,0,1
96,1,1,0,61,0,2,0,1,0,2,0,96,1,0,61,0,0,1,0,1,1,1
96,1,1,0,61,0,3,0,1,0,2,0,96,1,0,61,0,0,1,1,1,1,1
96,1,1,0,61,0,3,0,1,0,3,0,96,1,0,61,0,0,1,1,0,1,1
96,1,1,0,61,0,3,0,1,0,3,0,96,1,0,61,0,0,1,1,0,1,1
96,1,1,0,61,0,3,0,1,0,3,0,96,1,0,61,0,0,1,1,0,1,1
96,1,1,0,61,0,3,0,1,0,3,0,96,1,0,61,0,0,1,1,0,1,1
96,1,1,0,61,0,3,0,1,0,3,0,96,1,0,61,0,0,1,1,0,1,1
96,1,1,0,61,0,3,0,1,0,3,0,96,1,0,61,0,0,1,1,0,1,1
96,1,1,0,61,0,3,0,1,0,3,0,96,1,0,61,0,0,1,1,0,1,1
96,1,0,0,61,0,1,1,0,0,3,1,96,1,0,61,0,0,1,0,0,1,0
96,0,0,0,61,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,0,1,0,16,0,2,0,1,0,1,0,96,0,0,61,0,0,0,0,0,0,1
96,1,1,0,16,0,2,0,1,0,2,0,96,1,0,16,0,0,1,0,1,1,1
96,1,1,0,16,0,3,0,1,0,2,0,96,1,0,16,0,0,1,1,1,1,1
96,1,1,0,16,0,3,0,1,0,3,0,96,1,0,16,0,0,1,1,0,1,1
96,1,1,0,16,0,3,0,1,0,3,0,96,1,0,16,0,0,1,1,0,1,1
96,1,1,0,16,0,3,0,1,0,3,0,96,1,0,16,0,0,1,1,0,1,1
96,1,1,0,16,0,3,0,1,0,3,0,96,1,0,16,0,0,1,1,0,1,1
96,1,1,0,16,0,3,0,1,0,3,0,96,1,0,16,0,0,1,1,0,1,1
96,1,1,0,16,0,3,0,1,0,3,0,96,1,0,16,0,0,1,1,0,1,1
96,1,1,0,16,0,3,0,1,0,3,0,96,1,0,16,0,0,1,1,0,1,1
96,1,0,0,16,0,1,1,0,0,3,1,96,1,0,16,0,0,1,0,0,1,0
96,0,0,0,16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,0,1,0,138,0,2,0,1,0,1,0,96,0,0,16,0,0,0,0,0,0,1
96,1,1,0,138,0,2,0,1,0,2,0,96,1,0,138,0,0,1,0,1,1,1
96,1,1,0,138,0,3,0,1,0,2,0,96,1,0,138,0,0,1,1,1,1,1
